SEASON	SITE	MANGROVES	COT (%)	NT(%)	δ15N	δ13C	C/N	TP(µg/g)	IP(µg/g)	OP(µg/g)	OM(%)
S	L	M1	111.4	7.70	2.56	-25.28	16.77	839.1	297.39	588.25	298.9
S	L	M1	98.8	6.70	1.47	-25.83	17.14	740	202.02	599.65	285.8
S	L	M1	99.1	7.10	1.29	-25.5	16.29	863.2	274.97	582.42	274.7
S	L	M1	98.7	9.70	1.5	-24.72	22.14	827.6	227.97	444.84	285.5
S	L	M1	183.6	9.20	1.92	-25.85	20.7	929.8	347.35	575.55	378.8
S	L	M1	162.4	9.20	2.01	-26.81	19.75	905.5	460.61	417.33	350.9
S	L	M1	155.2	7.90	1.97	-25.58	17.6	958.3	382.71	178.91	347.7
S	L	M1	118.7	7.90	2.33	-25.78	16.57	881.7	464.34	317.77	335.3
S	L	M1	112.3	7.40	NA	-25.18	17.6	785.1	606.22	413.13	293.3
S	L	M1	111.4	6.70	NA	-24.87	16.02	912.8	595.00	NA	276.6
S	L	M1	91.5	0.00	NA	-24.3	NA	803.6	390.46	NA	294.3
S	L	M1	145.3	0.00	NA	-25.82	NA	NA	NA	NA	NA
S	L	M1	175.5	0.00	NA	-26.05	NA	NA	NA	NA	NA
S	L	M1	NA	0.00	NA	-25.42	NA	NA	NA	NA	NA
W	U	M2	144.6	7.00	5.14	-29.03	24.05	1211.9	684.97	574.66	359.5
W	U	M2	127.7	7.10	5.41	-28.52	21	1327.6	836.57	677.60	327.1
W	U	M2	123.3	6.80	5.03	-28.55	21.17	1221.8	647.11	558.08	311.6
W	U	M2	112.4	6.20	5.38	-27.93	21.13	1322.6	645.00	820.68	328.3
W	U	M2	130.2	6.90	5.54	-28.7	22.11	1295.4	737.27	426.96	313.4
W	U	M2	111.4	6.80	5.2	-28.38	19.14	1400.7	580.05	393.09	328.4
W	U	M2	116.5	6.70	5.2	-28.6	20.29	1121.6	694.68	391.60	308.4
W	U	M2	139.8	6.70	5.42	-28.73	24.41	1262.4	869.34	269.22	346.4
W	U	M2	129.8	6.70	4.94	-29.18	22.5	1255	863.41	282.14	337.6
W	U	M2	130.2	6.40	4.97	-28.41	23.78	1312.4	1043.19	168.10	324.0
W	U	M2	148.9	7.30	4.95	-31.77	23.74	1200.9	918.74	494.66	363.4
W	U	M2	118.1	6.00	5	-28.78	22.98	1115	946.90	257.21	309.8
W	U	M2	196.5	7.40	5.35	-26.62	30.84	1413.6	918.98	216.54	444.0
W	U	M2	140.1	7.10	5.27	-29.09	23.03	1264.5	1007.29	429.11	350.4
W	U	M2	91.3	5.20	5.35	-27.15	20.55	905.1	688.59	273.46	261.1
W	U	M2	88.3	4.60	NA	-27.38	22.34	880.8	451.72	NA	264.1
W	U	M2	91.8	0.00	NA	-27.28	22.11	900.5	627.03	NA	263.5
S	U	M2	134.5	9.20	3.39	-28.42	17.15	1302.4	687.33	523.73	344.4
S	U	M2	128.9	8.80	3.38	-28.07	17.15	1375	804.53	629.81	330.9
S	U	M2	139	8.90	3.49	-28.33	18.27	1323.3	799.61	566.41	339.8
S	U	M2	141.2	8.90	3.62	-28.41	18.52	1395.2	765.35	784.46	360.2
S	U	M2	147.6	8.70	3.36	-28.19	19.98	1267.3	700.93	595.28	339.7
S	U	M2	149	8.60	3.36	-28.68	19.5	1483.4	698.97	575.42	327.1
S	U	M2	155	8.90	3.43	-28.46	18.89	1378.3	782.99	761.33	351.2
S	U	M2	147.2	9.60	3.41	-27.89	19.3	1372.5	797.10	869.99	412.8
S	U	M2	160.4	8.90	3.37	-27.99	19.34	1519.5	758.21	912.13	329.3
S	U	M2	158.6	9.70	3.56	-28.79	18.92	1544.3	674.32	822.54	344.3
S	U	M2	144.2	9.80	3.09	-28.22	18.14	1621.5	709.38	778.51	346.2
S	U	M2	167.5	9.30	3.08	-29	19.71	1539.7	717.16	818.67	336.7
S	U	M2	152.2	9.90	3.21	-28.62	18.81	1479.9	701.40	836.15	341.1
S	U	M2	168.3	9.40	3.08	-28.31	19.56	1501.2	682.55	645.74	349.5
S	U	M2	154.6	10.00	3.07	-28.4	17.41	1415.2	579.03	656.03	373.1
S	U	M2	169	10.40	NA	-28.65	19.39	1396.7	751.01	703.63	370.2
S	U	M2	NA	10.20	NA	NA	NA	1340.6	684.58	NA	360.3
W	L	M2	69.9	4.20	6.37	-26.87	22.13	952.2	640.54	165.51	216.5
W	L	M2	79.1	4.80	6.07	-26.91	17.47	1163.9	962.89	376.72	251.9
W	L	M2	72.1	4.20	6.38	-27.27	16.75	1019.1	853.55	417.11	218.4
W	L	M2	102.7	5.60	6.65	-28.08	21.86	1215.9	839.17	358.03	284.0
W	L	M2	80	4.50	6.27	-27.14	23.65	1116.5	699.41	305.13	242.1
W	L	M2	83.9	5.40	7	-26.84	13.21	1052.2	694.19	352.55	242.8
W	L	M2	108.7	5.50	6.55	-27.94	23	1137.4	832.23	563.01	283.6
W	L	M2	62	4.70	6.99	-25.9	27.18	1102.7	750.15	566.06	200.5
W	L	M2	91.8	4.70	6.34	-27.53	20.76	1239	675.95	244.40	242.1
W	L	M2	109.4	4.40	7.23	-28.45	18.53	1329.9	763.79	120.21	275.8
W	L	M2	78	5.30	7.06	-27.29	16.36	1061.2	816.84	195.33	227.3
W	L	M2	84.8	3.80	6.79	-26.98	19.35	1149.1	1028.84	249.75	236.1
W	L	M2	52.6	4.90	7.04	-28.41	18.08	1140	944.63	367.49	184.8
W	L	M2	81.8	4.60	6.94	-27.06	18.67	1202.4	952.66	NA	237.4
W	L	M2	75.7	4.70	6.6	-26.35	16.64	1059	1126.79	NA	223.5
W	L	M2	63.6	4.50	NA	-26.54	21.61	1086.4	1140.48	NA	223.0
W	L	M2	78.1	4.20	NA	-26.38	NA	1042.8	1060.00	NA	213.6
W	L	M2	NA	NA	NA	-27.03	NA	NA	NA	NA	NA
S	L	M2	64	4.60	5.92	-28.1	16.15	1026.4	658.87	120.52	224.1
S	L	M2	56.9	4.20	6.49	-27.83	15.86	1700.2	90.65	172.27	670.3
S	L	M2	65.1	4.20	6.88	-27.89	17.88	925.5	762.48	300.90	163.7
S	L	M2	58.8	4.50	6.28	-27.75	15.39	918.4	797.83	108.48	170.0
S	L	M2	77.8	5.30	6.33	-28.3	17.24	1009.1	836.80	254.92	174.2
S	L	M2	48.8	4.40	6.33	-27.78	13.04	1134.4	833.51	222.72	211.7
S	L	M2	90.7	5.60	6.47	-28.82	18.76	874.1	765.63	86.61	184.0
S	L	M2	75.2	4.20	6.37	-28.61	21.12	1027.3	772.35	109.95	245.2
S	L	M2	55.1	4.40	6.21	-27.41	14.69	1006.3	783.60	171.43	168.2
S	L	M2	69.3	4.70	6.11	-31.1	17.19	998.7	912.07	217.74	161.5
S	L	M2	62.9	4.50	6.15	-28.13	16.34	1043.2	933.22	10.27	189.5
S	L	M2	83.5	5.50	6.03	-28.24	17.64	1127.5	956.05	264.83	172.9
S	L	M2	48.9	3.90	5.93	-27.7	14.58	1125.7	907.99	435.01	218.1
S	L	M2	69.6	4.80	6.11	-27.76	16.96	896.4	886.12	358.65	140.8
S	L	M2	88.8	5.50	NA	-28.98	18.69	1075.3	810.43	NA	183.9
S	L	M2	84.4	5.40	NA	-28.82	18.33	1203.6	768.58	NA	223.6
S	L	M2	NA	0.00	NA	NA	NA	1107.9	749.27	NA	215.7
W	U	M3	51	3.90	6.64	-23.35	15.32	999.8	840.47	227.27	210.8
W	U	M3	94.7	5.50	7.93	-26.72	20.21	1101.5	869.63	78.41	292.7
W	U	M3	93.8	5.70	7.47	-23.42	19.06	1085	857.70	262.64	290.3
W	U	M3	58.8	4.90	6.79	-23.75	14.01	946.8	868.42	219.48	223.5
W	U	M3	58	4.50	6.57	-23.12	14.98	1021.6	758.91	92.87	226.7
W	U	M3	61.1	5.40	5.98	-20.74	13.19	1029.7	810.20	149.78	249.8
W	U	M3	66.4	4.80	6.17	-22.66	15.99	960.4	867.49	205.80	257.2
W	U	M3	54.3	4.30	5.74	-25.37	14.61	933.1	783.31	310.80	208.3
W	U	M3	84	5.60	6.84	-25.86	17.58	1008.5	802.69	268.98	272.7
W	U	M3	90.9	6.30	6.21	-22.3	16.92	995	684.23	211.64	287.7
W	U	M3	53.4	4.50	6.06	-23.37	13.77	959.4	690.46	209.71	214.9
W	U	M3	61.3	4.80	5.17	-22.33	14.79	964.6	752.92	269.61	233.3
W	U	M3	57.5	4.80	5.19	-20.92	13.94	966.9	757.17	212.65	218.7
W	U	M3	62.3	4.60	7.32	-22.72	15.92	1096.5	826.85	276.64	237.7
W	U	M3	47.4	4.20	7.89	-21.41	13.1	992.7	780.02	93.06	199.4
W	U	M3	36.3	3.80	NA	-22.18	11.07	997.7	721.04	NA	228.3
W	U	M3	40.2	3.90	NA	NA	12.13	817.1	724.09	NA	147.0
S	U	M3	46.4	4.20	7.1	-25.01	13	1129.2	813.26	212.56	191.0
S	U	M3	44.7	6.00	7	-22.76	8.7	1080.9	753.32	325.66	181.6
S	U	M3	51.9	4.30	7.13	-24.24	14.21	1036.6	824.03	362.25	188.1
S	U	M3	37.9	4.30	7.52	-22.15	10.36	1092.4	766.78	245.96	177.4
S	U	M3	44.3	4.30	6.3	-21.85	11.94	1128.4	766.13	525.73	173.1
S	U	M3	36.9	3.70	6.78	-21.11	11.56	1001.2	755.22	254.98	174.1
S	U	M3	97	5.10	6.18	-24.07	22.24	1266.7	741.01	271.80	221.2
S	U	M3	47.3	3.90	6.15	-17.86	12.74	1186.1	931.09	368.67	205.7
S	U	M3	41.9	3.80	6.84	-27.37	13.31	1102.4	830.56	367.13	194.5
S	U	M3	46.6	4.10	6.99	-22.53	10.92	1120.7	751.99	430.84	182.9
S	U	M3	35.4	3.80	7.1	-24.33	13.51	1156	788.83	238.02	172.4
S	U	M3	46.7	4.00	5.63	NA	10.66	1158.3	727.43	349.98	169.9
S	U	M3	33.6	3.70	6.89	NA	17.18	1149.9	911.85	173.64	174.7
S	U	M3	76.3	5.20	6.7	NA	12.87	1098.3	748.35	199.78	210.4
S	U	M3	43.5	3.90	6.75	NA	12.06	1028	854.40	398.82	198.1
S	U	M3	39.5	3.80	NA	NA	11.96	1080.3	880.50	NA	186.9
S	U	M3	45.2	4.40	NA	NA	NA	1150.2	751.41	NA	229.9
W	L	M3	40.3	4.20	7.1	-15.84	11.31	982.9	844.12	100.43	199.0
W	L	M3	43.2	6.00	7	-14.55	8.41	989.7	882.84	153.74	192.9
W	L	M3	44.8	4.30	7.13	-17.15	12.28	963.6	863.20	51.27	212.7
W	L	M3	41.7	4.30	7.52	-17.03	11.39	1119.5	965.75	32.76	211.0
W	L	M3	50.6	4.30	6.3	-19.52	13.62	1015.7	964.46	181.72	208.5
W	L	M3	38.5	3.70	6.81	-17.62	12.07	950.8	918.03	213.90	179.1
W	L	M3	54	5.10	6.92	-18.68	12.38	1033.2	851.49	79.55	218.5
W	L	M3	39.9	4.40	7.03	-13.89	10.65	1041.9	828.02	108.69	186.8
W	L	M3	39.8	4.50	7.73	-12.72	10.41	1034.9	955.31	37.07	185.8
W	L	M3	42.2	4.40	8.07	-14.35	11.24	1048.4	939.68	155.66	194.4
W	L	M3	39.1	4.50	7.39	-14.6	10.2	1012.6	975.57	118.40	189.1
W	L	M3	42.9	4.70	6.02	-14.67	10.76	1092.4	936.73	12.82	198.0
W	L	M3	40	4.40	6.56	-17.11	10.54	1024.7	906.31	101.57	184.5
W	L	M3	39.6	4.60	6.87	-11.27	9.98	1005	992.17	61.86	203.8
W	L	M3	38.2	4.60	7.32	-11.67	9.74	994.7	893.09	44.09	196.8
W	L	M3	38.3	4.70	NA	-11.64	9.61	1043	981.17	NA	196.1
W	L	M3	39.5	5.00	NA	-19.23	9.31	1015.6	971.51	NA	208.9
S	L	M3	75	5.10	5.03	-26.93	17.07	1342	694.43	529.13	242.5
S	L	M3	118	5.90	5.2	-27.08	23.23	1315.8	666.02	367.65	291.6
S	L	M3	75.7	5.20	5.2	-23.3	16.91	1331.6	802.45	531.29	264.9
S	L	M3	103	5.40	5.48	-26.03	22.25	1223.4	855.77	351.09	234.7
S	L	M3	81.2	5.30	5.7	-24.71	18.03	1288.9	757.62	445.58	257.7
S	L	M3	100.7	4.70	5.43	-27.89	24.79	1085.8	734.67	592.14	254.5
S	L	M3	58.8	4.60	5.1	-21.19	14.88	1167.4	721.87	494.75	235.0
S	L	M3	72	5.60	5.49	-22.65	14.98	1347	754.84	517.53	253.4
S	L	M3	101.6	5.90	5.59	-25.66	20.06	1254.1	759.35	579.97	260.2
S	L	M3	60.5	4.60	5.2	-20.61	15.37	1275.8	758.28	603.78	254.2
S	L	M3	94.1	5.20	5.34	-33.45	21.26	1330.3	750.36	538.83	239.9
S	L	M3	74.6	5.70	5.38	NA	15.35	1329.2	725.38	415.12	251.8
S	L	M3	60.1	5.10	5.84	NA	13.74	1189.8	650.93	399.50	238.3
S	L	M3	49.9	4.90	5.21	NA	11.79	1072	656.83	563.01	218.0
S	L	M3	44.9	4.40	NA	NA	12.04	1068.9	669.38	NA	226.0
S	L	M3	76	5.60	NA	NA	15.93	1132.2	569.24	NA	222.8
